id;descricao;codigo;valor;quantidade_estoque;imagem;imagem_content_type
1;mobile Fish;Home Loan Account Table Computer;5808;45924;../fake-data/blob/hipster.png;image/png
2;seamless Metal deposit;Producer;83244;93855;../fake-data/blob/hipster.png;image/png
3;Electronics;Soap methodology Albania;43194;2306;../fake-data/blob/hipster.png;image/png
4;Namibia;Steel zero administration;36636;23277;../fake-data/blob/hipster.png;image/png
5;Licensed Savings Account;Cambridgeshire Mississippi;4645;85994;../fake-data/blob/hipster.png;image/png
6;Yuan Renminbi Centers;Factors;96563;56328;../fake-data/blob/hipster.png;image/png
7;envisioneer Music Public-key;infomediaries;12203;60999;../fake-data/blob/hipster.png;image/png
8;backing up Salad;Digitized invoice;31171;42515;../fake-data/blob/hipster.png;image/png
9;sky blue Georgia;Facilitator;77513;44975;../fake-data/blob/hipster.png;image/png
10;e-enable Communications capacitor;Awesome;19598;52083;../fake-data/blob/hipster.png;image/png
